email,company,city,region,referral_code,referral_link
nicci@nicoletteweddings.com,Nicolette Weddings,Cape Town, South Africa,NICOLETTEW0001,https://cardcraft-saas.vercel.app?ref=NICOLETTEW0001
lauren@kelz.co.za,Kelz & Co.,Cape Town, South Africa,KELZCO0002,https://cardcraft-saas.vercel.app?ref=KELZCO0002
rebecca@theweddingfairy.co.za,The Wedding Fairy,Cape Town, South Africa,THEWEDDING0003,https://cardcraft-saas.vercel.app?ref=THEWEDDING0003
info@bellsandwhistles.me,Bells & Whistles,Cape Town, South Africa,BELLSWHIST0004,https://cardcraft-saas.vercel.app?ref=BELLSWHIST0004
info@warrenstoneweddings.com,Warren-Stone Weddings,Cape Town, South Africa,WARRENSTON0005,https://cardcraft-saas.vercel.app?ref=WARRENSTON0005
marius@weddingsbymarius.co.za,Weddings by Marius,Johannesburg, South Africa,WEDDINGSBY0006,https://cardcraft-saas.vercel.app?ref=WEDDINGSBY0006
etherealevents.wedding.co@gmail.com,Ethereal Events Co.,Johannesburg/Pretoria, South Africa,ETHEREALEV0007,https://cardcraft-saas.vercel.app?ref=ETHEREALEV0007
Weddings@wedjmice.co.za,Art Weddings & Events,Pretoria, South Africa,ARTWEDDING0008,https://cardcraft-saas.vercel.app?ref=ARTWEDDING0008
jackie.j.sullivan@gmail.com,By Jackie,Durban, South Africa,BYJACKIE0009,https://cardcraft-saas.vercel.app?ref=BYJACKIE0009
somreneevents@gmail.com,Somrene Events,Lagos, Nigeria,SOMRENEEVE0010,https://cardcraft-saas.vercel.app?ref=SOMRENEEVE0010
info@myeventigo.com,Eventigo,Lagos, Nigeria,EVENTIGO0011,https://cardcraft-saas.vercel.app?ref=EVENTIGO0011
info@poshnpristine.com,Posh & Pristine Event Planners,Abuja, Nigeria,POSHPRISTI0012,https://cardcraft-saas.vercel.app?ref=POSHPRISTI0012
abujawedding@gmail.com,Abuja Weddings,Abuja, Nigeria,ABUJAWEDDI0013,https://cardcraft-saas.vercel.app?ref=ABUJAWEDDI0013
info@elitefocus.co.ke,Elite Focus Entertainment,Nairobi, Kenya,ELITEFOCUS0014,https://cardcraft-saas.vercel.app?ref=ELITEFOCUS0014
254weddingplanners@gmail.com,Kenya Wedding Planners,Nairobi, Kenya,KENYAWEDDI0015,https://cardcraft-saas.vercel.app?ref=KENYAWEDDI0015
info@karekayeventsplanner.co.ke,Karekay Events Planner,Nairobi, Kenya,KAREKAYEVE0016,https://cardcraft-saas.vercel.app?ref=KAREKAYEVE0016
services@janeson.co.ke,Janeson Events,Nairobi, Kenya,JANESONEVE0017,https://cardcraft-saas.vercel.app?ref=JANESONEVE0017
events@lavidaevents.co.ke,Lavida Events,Mombasa, Kenya,LAVIDAEVEN0018,https://cardcraft-saas.vercel.app?ref=LAVIDAEVEN0018
mimiplanners@gmail.com,Mimi Events Planners,Mombasa, Kenya,MIMIEVENTS0019,https://cardcraft-saas.vercel.app?ref=MIMIEVENTS0019
events@planitghana.com,PlanIt Ghana,Accra, Ghana,PLANITGHAN0020,https://cardcraft-saas.vercel.app?ref=PLANITGHAN0020
hello@myplanitevent.com,PlanIt Events Ghana,Accra, Ghana,PLANITEVEN0021,https://cardcraft-saas.vercel.app?ref=PLANITEVEN0021
info@thepurpletwirl.com,Purple Twirl,Accra, Ghana,PURPLETWIR0022,https://cardcraft-saas.vercel.app?ref=PURPLETWIR0022
contact@moroccogoevents.com,Morocco Go Events,Marrakech, Morocco,MOROCCOGOE0023,https://cardcraft-saas.vercel.app?ref=MOROCCOGOE0023
moroccogoevents@gmail.com,Morocco Go Events,Marrakech, Morocco,MOROCCOGOE0024,https://cardcraft-saas.vercel.app?ref=MOROCCOGOE0024
hello@amelie.wedding,Amélie Wedding,Marrakech, Morocco,AMLIEWEDDI0025,https://cardcraft-saas.vercel.app?ref=AMLIEWEDDI0025
sales@weddings-design.com,Weddings Design,Marrakech, Morocco,WEDDINGSDE0026,https://cardcraft-saas.vercel.app?ref=WEDDINGSDE0026
info@space-egyevents.com,Space Wedding Planner,Cairo, Egypt,SPACEWEDDI0027,https://cardcraft-saas.vercel.app?ref=SPACEWEDDI0027
info@cubenation-tanzania.com,Cube Nation Tanzania,Arusha, Tanzania,CUBENATION0028,https://cardcraft-saas.vercel.app?ref=CUBENATION0028
info@mauritiusweddingplanner.com,Mauritius Wedding Planner,Bambous, Mauritius,MAURITIUSW0029,https://cardcraft-saas.vercel.app?ref=MAURITIUSW0029
team@seychelleswedding.org,SeychellesWedding.org,Mahe, Seychelles,SEYCHELLES0030,https://cardcraft-saas.vercel.app?ref=SEYCHELLES0030
weddings@seyromanceseychelles.com,Sey Romance Seychelles,Mahe, Seychelles,SEYROMANCE0031,https://cardcraft-saas.vercel.app?ref=SEYROMANCE0031
izubaplanners@gmail.com,Izuba Planners,Kampala, Uganda,IZUBAPLANN0032,https://cardcraft-saas.vercel.app?ref=IZUBAPLANN0032
planner@nyomplanet.com,Nyom Planet,Kampala, Uganda,NYOMPLANET0033,https://cardcraft-saas.vercel.app?ref=NYOMPLANET0033
calebmaxime@gmail.com,Maxime Decor & Wedding Planner,Kigali, Rwanda,MAXIMEDECO0034,https://cardcraft-saas.vercel.app?ref=MAXIMEDECO0034
Info@absayrweddings.com,Absayr Weddings,Addis Ababa, Ethiopia,ABSAYRWEDD0035,https://cardcraft-saas.vercel.app?ref=ABSAYRWEDD0035
