email,company,city,region,referral_code,referral_link
hello@carolinacoordinate.com,Carolina Coordinate,Charlotte,NC,CAROLINACO4601,https://cardcraft-saas.vercel.app?ref=CAROLINACO4601
hello@carolinaweddingco.com,Carolina Wedding Co.,Charlotte,NC,CAROLINAWE4602,https://cardcraft-saas.vercel.app?ref=CAROLINAWE4602
hello@carolinaoccasions.com,Carolina Occasions,Charlotte,NC,CAROLINAOC4603,https://cardcraft-saas.vercel.app?ref=CAROLINAOC4603
hello@carolinacarat.com,Carina Carat,Charlotte,NC,CARINACARA4604,https://cardcraft-saas.vercel.app?ref=CARINACARA4604
info@craftedcharmweddingplanning.com,Crafted Charm Wedding Planning,Charlotte,NC,CRAFTEDCHA4605,https://cardcraft-saas.vercel.app?ref=CRAFTEDCHA4605
hello@jackiefogartie.com,Jackie Fogartie Events,Charlotte,NC,JACKIEFOGA4606,https://cardcraft-saas.vercel.app?ref=JACKIEFOGA4606
hello@kellyandcoevents.com,Kelly & Co. Events,Charlotte,NC,KELLYCOEVE4607,https://cardcraft-saas.vercel.app?ref=KELLYCOEVE4607
info@southernsavvyevents.com,Southern Savvy Events,Charlotte,NC,SOUTHERNSA4608,https://cardcraft-saas.vercel.app?ref=SOUTHERNSA4608
info@ellemevents.com,Elle M Events,Charlotte,NC,ELLEMEVENT4609,https://cardcraft-saas.vercel.app?ref=ELLEMEVENT4609
libby@detailsweddingplanning.com,Details Wedding Planning,Charlotte,NC,DETAILSWED4610,https://cardcraft-saas.vercel.app?ref=DETAILSWED4610
hello@scoutandgrace.com,Scout and Grace,Charlotte,NC,SCOUTANDGR4611,https://cardcraft-saas.vercel.app?ref=SCOUTANDGR4611
hello@curatedeventscharleston.com,Curated Events Charleston,Charlotte,NC,CURATEDEVE4612,https://cardcraft-saas.vercel.app?ref=CURATEDEVE4612
hello@baylyeburnette.com,Baylye Burnette,Charlotte,NC,BAYLYEBURN4613,https://cardcraft-saas.vercel.app?ref=BAYLYEBURN4613
hello@belleoftheball.com,Belle of the Ball,Charlotte,NC,BELLEOFTHE4614,https://cardcraft-saas.vercel.app?ref=BELLEOFTHE4614
hello@calderclark.com,Calder Clark,Charlotte,NC,CALDERCLAR4615,https://cardcraft-saas.vercel.app?ref=CALDERCLAR4615
hello@cindyvollertsen.com,Cindy Vollertsen,Charlotte,NC,CINDYVOLLE4616,https://cardcraft-saas.vercel.app?ref=CINDYVOLLE4616
