email,company,city,region,referral_code,referral_link
patrice@pdeventplanning.com,PD Event Planning,Charlotte,NC,PDEVENTPLA0430,https://cardcraft-saas.vercel.app?ref=PDEVENTPLA0430
info@craftedcharmweddingplanning.com,Crafted Charm Wedding Planning,Charlotte,NC,CRAFTEDCHA0431,https://cardcraft-saas.vercel.app?ref=CRAFTEDCHA0431
hello@jackiefogartie.com,Jackie Fogartie Events,Charlotte,NC,JACKIEFOGA0432,https://cardcraft-saas.vercel.app?ref=JACKIEFOGA0432
Sacoya@jenkinsandcoweddings.com,Jenkins & Co. Weddings,Charlotte,NC,JENKINSAND0433,https://cardcraft-saas.vercel.app?ref=JENKINSAND0433
info@southernsavvyevents.com,Southern Savvy Events,Charlotte,NC,SOUTHERNSA0434,https://cardcraft-saas.vercel.app?ref=SOUTHERNSA0434
hello@kellyandcoevents.com,Kelly & Co. Events,Charlotte,NC,KELLYANDCO0435,https://cardcraft-saas.vercel.app?ref=KELLYANDCO0435
info@ellemevents.com,Elle M Events,Charlotte,NC,ELLEMEVENT0436,https://cardcraft-saas.vercel.app?ref=ELLEMEVENT0436
ciao@amoreplanning.co,Amore Planning Co.,Raleigh,NC,AMOREPLANN0437,https://cardcraft-saas.vercel.app?ref=AMOREPLANN0437
info@totallybeautifulmoments.com,Totally Beautiful Moments,Raleigh,NC,TOTALLYBEA0438,https://cardcraft-saas.vercel.app?ref=TOTALLYBEA0438
hello@laurenoandco.com,Lauren O & Co.,Raleigh,NC,LAURENOAND0439,https://cardcraft-saas.vercel.app?ref=LAURENOAND0439
info@harmonyweddingsnc.com,Harmony Weddings,Raleigh,NC,HARMONYWED0440,https://cardcraft-saas.vercel.app?ref=HARMONYWED0440
aneesa@harmonyweddingsnc.com,Harmony Weddings,Raleigh,NC,HARMONYWE20441,https://cardcraft-saas.vercel.app?ref=HARMONYWE20441
jessicaalexanderevents@gmail.com,Jessica Alexander Events,Raleigh,NC,JESSICAALE0442,https://cardcraft-saas.vercel.app?ref=JESSICAALE0442
hello@biancanichole.com,Bianca Nichole,Raleigh,NC,BIANCANICH0443,https://cardcraft-saas.vercel.app?ref=BIANCANICH0443
Rachel@eleventsandco.com,Elevents & Co.,Charleston,SC,ELEVENTSAN0444,https://cardcraft-saas.vercel.app?ref=ELEVENTSAN0444
kala@modeventscharleston.com,MOD Events Charleston,Charleston,SC,MODEVENTSC0445,https://cardcraft-saas.vercel.app?ref=MODEVENTSC0445
info@charlestonweddingplanner.com,Charleston Wedding Planner,Charleston,SC,CHARLESTON0446,https://cardcraft-saas.vercel.app?ref=CHARLESTON0446
Vanessa@spectacularsaturdays.com,Spectacular Saturdays,Savannah,GA,SPECTACULA0447,https://cardcraft-saas.vercel.app?ref=SPECTACULA0447
Hello@AllisonEventDesign.com,Allison Event Design,Savannah,GA,ALLISONEVE0448,https://cardcraft-saas.vercel.app?ref=ALLISONEVE0448
info@taraskinnerevents.com,Tara Skinner Events,Savannah,GA,TARASKINNE0449,https://cardcraft-saas.vercel.app?ref=TARASKINNE0449
hello@redvelvetcollective.com,Red Velvet Collective,Jacksonville,FL,REDVELVETC0450,https://cardcraft-saas.vercel.app?ref=REDVELVETC0450
tara@loveleeeventsjax.com,Lovelee Events,Jacksonville,FL,LOVELEEEVEN0451,https://cardcraft-saas.vercel.app?ref=LOVELEEEVEN0451
adair@dairingevents.com,Dairing Events,Jacksonville,FL,DAIRINGEVE0452,https://cardcraft-saas.vercel.app?ref=DAIRINGEVE0452
info@firstcoastweddings.com,First Coast Weddings and Events,Jacksonville,FL,FIRSTCOAST0453,https://cardcraft-saas.vercel.app?ref=FIRSTCOAST0453
Events@peatotree.com,Pea to Tree Events,Tampa,FL,PEATOTREEE0454,https://cardcraft-saas.vercel.app?ref=PEATOTREEE0454
info@erikaobrienevents.com,Erika O'Brien Events,Tampa,FL,ERIKAOBRIE0455,https://cardcraft-saas.vercel.app?ref=ERIKAOBRIE0455
jessie@breezin.com,Breezin' Weddings,Tampa,FL,BREEZINWED0456,https://cardcraft-saas.vercel.app?ref=BREEZINWED0456
marykate@eventsbymarykate.com,Events by Marykate,Tampa,FL,EVENTSBYMA0457,https://cardcraft-saas.vercel.app?ref=EVENTSBYMA0457
info@designedbyunique.com,UNIQUE Weddings + Events,Tampa,FL,UNIQUEWEDD0458,https://cardcraft-saas.vercel.app?ref=UNIQUEWEDD0458
hello@saepevents.com,SAEP By Stephanie Arias,Tampa,FL,SAEPEVENTS0459,https://cardcraft-saas.vercel.app?ref=SAEPEVENTS0459
