email,company,city,region,referral_code,referral_link
patrice@pdeventplanning.com,PD Event Planning,Charlotte,NC,PDEVENTPLA0430,https://cardcraft-saas.vercel.app?ref=PDEVENTPLA0430
info@craftedcharmweddingplanning.com,Crafted Charm Wedding Planning,Charlotte,NC,CRAFTEDCHA0431,https://cardcraft-saas.vercel.app?ref=CRAFTEDCHA0431
hello@jackiefogartie.com,Jackie Fogartie Events,Charlotte,NC,JACKIEFOGA0432,https://cardcraft-saas.vercel.app?ref=JACKIEFOGA0432
Sacoya@jenkinsandcoweddings.com,Jenkins & Co. Weddings,Charlotte,NC,JENKINSAND0433,https://cardcraft-saas.vercel.app?ref=JENKINSAND0433
info@southernsavvyevents.com,Southern Savvy Events,Charlotte,NC,SOUTHERNSA0434,https://cardcraft-saas.vercel.app?ref=SOUTHERNSA0434
hello@kellyandcoevents.com,Kelly & Co. Events,Charlotte,NC,KELLYANDCO0435,https://cardcraft-saas.vercel.app?ref=KELLYANDCO0435
info@ellemevents.com,Elle M Events,Charlotte,NC,ELLEMEVENT0436,https://cardcraft-saas.vercel.app?ref=ELLEMEVENT0436
libby@detailsweddingplanning.com,Details Wedding Planning,Charlotte,NC,DETAILSWED0437,https://cardcraft-saas.vercel.app?ref=DETAILSWED0437
miriam@scoutandgrace.com,Scout and Grace,Charlotte,NC,SCOUTANDGR0438,https://cardcraft-saas.vercel.app?ref=SCOUTANDGR0438
ciao@amoreplanning.co,Amore Planning Co.,Raleigh,NC,AMOREPLANN0439,https://cardcraft-saas.vercel.app?ref=AMOREPLANN0439
info@totallybeautifulmoments.com,Totally Beautiful Moments,Raleigh,NC,TOTALLYBEA0440,https://cardcraft-saas.vercel.app?ref=TOTALLYBEA0440
hello@laurenoandco.com,Lauren O & Co.,Raleigh,NC,LAURENOAND0441,https://cardcraft-saas.vercel.app?ref=LAURENOAND0441
info@harmonyweddingsnc.com,Harmony Weddings,Raleigh,NC,HARMONYWED0442,https://cardcraft-saas.vercel.app?ref=HARMONYWED0442
aneesa@harmonyweddingsnc.com,Harmony Weddings,Raleigh,NC,HARMONYWE20443,https://cardcraft-saas.vercel.app?ref=HARMONYWE20443
jessicaalexanderevents@gmail.com,Jessica Alexander Events,Raleigh,NC,JESSICAALE0444,https://cardcraft-saas.vercel.app?ref=JESSICAALE0444
hello@biancanichole.com,Bianca Nichole,Raleigh,NC,BIANCANICH0445,https://cardcraft-saas.vercel.app?ref=BIANCANICH0445
info@significanteventsnc.com,Significant Events,Raleigh,NC,SIGNIFICAN0446,https://cardcraft-saas.vercel.app?ref=SIGNIFICAN0446
info@sweetsarabelle.com,Sweet SaraBelle,Raleigh,NC,SWEETSARAB0447,https://cardcraft-saas.vercel.app?ref=SWEETSARAB0447
Rachel@eleventsandco.com,Elevents & Co.,Charleston,SC,ELEVENTSAN0448,https://cardcraft-saas.vercel.app?ref=ELEVENTSAN0448
kala@modeventscharleston.com,MOD Events Charleston,Charleston,SC,MODEVENTSC0449,https://cardcraft-saas.vercel.app?ref=MODEVENTSC0449
info@charlestonweddingplanner.com,Charleston Wedding Planner,Charleston,SC,CHARLESTON0450,https://cardcraft-saas.vercel.app?ref=CHARLESTON0450
Vanessa@spectacularsaturdays.com,Spectacular Saturdays,Savannah,GA,SPECTACULA0451,https://cardcraft-saas.vercel.app?ref=SPECTACULA0451
Hello@AllisonEventDesign.com,Allison Event Design,Savannah,GA,ALLISONEVE0452,https://cardcraft-saas.vercel.app?ref=ALLISONEVE0452
